rua,cep,bairro,cidade,uf
Rua Olhete,11679229,Tabatinga,Caraguatatuba,SP
Rua Pampo,11679228,Tabatinga,Caraguatatuba,SP
Rua Roncador,11679227,Tabatinga,Caraguatatuba,SP
Rua Bagre,11679226,Tabatinga,Caraguatatuba,SP
Rua Sabelha,11679225,Tabatinga,Caraguatatuba,SP
Rua Sargo,11679224,Tabatinga,Caraguatatuba,SP
Rua Cação (Mar Verde I),11677863,Massaguaçu,Caraguatatuba,SP
Rua Carapau,11679222,Tabatinga,Caraguatatuba,SP
Rua Badejo,11679221,Tabatinga,Caraguatatuba,SP
Rua Arraia,11679220,Tabatinga,Caraguatatuba,SP
Rua Anchôva,11679219,Tabatinga,Caraguatatuba,SP
Rua T (Balneário Gardemar),11677326,Massaguaçu,Caraguatatuba,SP
Rua Golfinho (Mar Verde II),11677820,Massaguaçu,Caraguatatuba,SP
Rua Xareu (Mar Verde II),11677821,Massaguaçu,Caraguatatuba,SP
Rua Caratinga (Mar Verde II),11677822,Massaguaçu,Caraguatatuba,SP
Rua 17 (Mar Verde II),11677823,Massaguaçu,Caraguatatuba,SP
Rua Sardinha (Mar Verde II),11677824,Massaguaçu,Caraguatatuba,SP
Rua 18 (Mar Verde II),11677825,Massaguaçu,Caraguatatuba,SP
Rua Frade (Mar Verde II),11677826,Massaguaçu,Caraguatatuba,SP
Rua Corvina (Mar Verde II),11677827,Massaguaçu,Caraguatatuba,SP
Rua Meluza,11677828,Massaguaçu,Caraguatatuba,SP
Rua Namorado (Mar Verde II),11677830,Massaguaçu,Caraguatatuba,SP
Rua Barracuda (Mar Verde II),11677831,Massaguaçu,Caraguatatuba,SP
Rua Trilha (Mar Verde II),11677832,Massaguaçu,Caraguatatuba,SP
Rua Pargo (Mar Verde II),11677833,Massaguaçu,Caraguatatuba,SP
Rua Carapeva (Mar Verde II),11677834,Massaguaçu,Caraguatatuba,SP
Rua Bonito (Mar Verde II),11677835,Massaguaçu,Caraguatatuba,SP
Rua Vermelho (Mar Verde II),11677836,Massaguaçu,Caraguatatuba,SP
Rua Atum (Mar Verde II),11677837,Massaguaçu,Caraguatatuba,SP
Rua Anchôva (Mar Verde II),11677840,Massaguaçu,Caraguatatuba,SP
Rua Dourado (Mar Verde I),11677841,Massaguaçu,Caraguatatuba,SP
Rua Betara (Mar Verde I),11677842,Massaguaçu,Caraguatatuba,SP
Rua Peixe Espada (Mar Verde I),11677843,Massaguaçu,Caraguatatuba,SP
Rua Garoupa (Mar Verde I),11677844,Massaguaçu,Caraguatatuba,SP
Rua Linguado (Mar Verde I),11677845,Massaguaçu,Caraguatatuba,SP
Rua Manjuba (Mar Verde I),11677846,Massaguaçu,Caraguatatuba,SP
Rua Mero (Mar Verde I),11677847,Massaguaçu,Caraguatatuba,SP
Rua Guaivira (Mar Verde I),11677848,Massaguaçu,Caraguatatuba,SP
Rua Badejo (Mar Verde I),11677849,Massaguaçu,Caraguatatuba,SP
Rua Carapau (Mar Verde I),11677850,Massaguaçu,Caraguatatuba,SP
Rua Arraia (Mar Verde I),11677851,Massaguaçu,Caraguatatuba,SP
Rua Sabelha (Mar Verde I),11677852,Massaguaçu,Caraguatatuba,SP
Rua Bagre (Mar Verde I),11677853,Massaguaçu,Caraguatatuba,SP
Rua Roncador (Mar Verde I),11677854,Massaguaçu,Caraguatatuba,SP
Rua Olhete (Mar Verde I),11677855,Massaguaçu,Caraguatatuba,SP
Rua Pampo (Mar Verde I),11677856,Massaguaçu,Caraguatatuba,SP
Rua Cocoroca (Mar Verde I),11677857,Massaguaçu,Caraguatatuba,SP
Rua Robalo (Mar Verde I),11677858,Massaguaçu,Caraguatatuba,SP
Rua Sargo (Mar Verde I),11677859,Massaguaçu,Caraguatatuba,SP
Rua Tainha (Mar Verde I),11677860,Massaguaçu,Caraguatatuba,SP
Avenida Três,11672361,Pontal de Santa Marina,Caraguatatuba,SP
Rua Clemente Gomes Ferreira,11668311,Perequê Mirim,Caraguatatuba,SP
Rua Uberaba ( Chácaras Boa Esperança ),11668376,Perequê Mirim,Caraguatatuba,SP
Rua Mário Fernandes de Oliveira,11672362,Pontal de Santa Marina,Caraguatatuba,SP
Rua Braz Gonçalves,11672363,Pontal de Santa Marina,Caraguatatuba,SP
Rua J,11672364,Pontal de Santa Marina,Caraguatatuba,SP
Alameda das Sépias,11672365,Pontal de Santa Marina,Caraguatatuba,SP
Rua L,11672366,Pontal de Santa Marina,Caraguatatuba,SP
Rua M,11672367,Pontal de Santa Marina,Caraguatatuba,SP
Alameda dos Mariscos,11672369,Pontal de Santa Marina,Caraguatatuba,SP
Rua Maria Belém Gonçalves,11672373,Pontal de Santa Marina,Caraguatatuba,SP
Rua Casemiro de Abreu,11672371,Pontal de Santa Marina,Caraguatatuba,SP
Alameda das Algas,11672372,Pontal de Santa Marina,Caraguatatuba,SP
Rua Itoue Iochimoto,11676061,Balneário Copacabana,Caraguatatuba,SP
Rua Benedito Caetano dos Santos,11676079,Getuba,Caraguatatuba,SP
Rua Dom Antinio Luiz de Souza,11676346,Getuba,Caraguatatuba,SP
Rua Torquatro Cândido Portinari,11676351,Portal da Fazendinha,Caraguatatuba,SP
Alameda Alfredo Carlos Rokita,11666790,Balneário dos Golfinhos,Caraguatatuba,SP
Avenida Pedro Reginaldo da Costa,11666800,Balneário dos Golfinhos,Caraguatatuba,SP
Rua Inácio Batista de Faria ( Balneário Mar Azul ),11666770,Balneário dos Golfinhos,Caraguatatuba,SP
Avenida Emílio Manzano Lhorente,11666780,Balneário dos Golfinhos,Caraguatatuba,SP
Avenida Alice Arouca,11666820,Balneário Recanto do Sol,Caraguatatuba,SP
Avenida BB,11666830,Balneário Recanto do Sol,Caraguatatuba,SP
Avenida Três Saveiros,11672331,Pontal de Santa Marina,Caraguatatuba,SP
Avenida Claydmar Cristina Duarte Alves ( Jardim Saveiro ),11672332,Pontal de Santa Marina,Caraguatatuba,SP
Avenida Um Saveiro,11672333,Pontal de Santa Marina,Caraguatatuba,SP
Rua Nove,11672201,Pontal de Santa Marina,Caraguatatuba,SP
Rua José Zeferino de Oliveira,11661396,Sumaré,Caraguatatuba,SP
Rua Manoel Caires de Souza,11668342,Perequê Mirim,Caraguatatuba,SP
Rua Nancib Rachid,11672141,Pontal de Santa Marina,Caraguatatuba,SP
Rua Semaan Yossef Alouan,11672171,Pontal de Santa Marina,Caraguatatuba,SP
Rua Merluza (Mar Verde II),11677809,Massaguaçu,Caraguatatuba,SP
Praça Esperanto,11660015,Centro,Caraguatatuba,SP
Praça Alfaiate José Nunes de Souza,11660105,Centro,Caraguatatuba,SP
Travessa Jose Arildo Moreira,11660305,Centro,Caraguatatuba,SP
Rua Maestro Pedro Alves de Souza,11660406,Benfica,Caraguatatuba,SP
Rua Cristina Canova Passos,11660407,Benfica,Caraguatatuba,SP
Rua Braz Frugoli de Cruz,11660493,Caputera,Caraguatatuba,SP
Praça Maria Ângela Terreri Bevilacqua,11661205,Sumaré,Caraguatatuba,SP
Praça Eulália Ramos Fachini,11661315,Sumaré,Caraguatatuba,SP
Praça Joaquim Pereira da Silva,11661720,Prainha,Caraguatatuba,SP
Alameda das Conchas,11672315,Pontal de Santa Marina,Caraguatatuba,SP
Travessa Guilhermina Antunes Nastari,11662335,Martim de Sá,Caraguatatuba,SP
Rua Eliza Bressanim Lopes ( Recanto Santa Marta ),11662455,Martim de Sá,Caraguatatuba,SP
Travessa Eliza Bressanim Lopes ( Recanto Santa Marta ),11662456,Martim de Sá,Caraguatatuba,SP
Praça Hildebrando Leite dos Santos,11662705,Martim de Sá,Caraguatatuba,SP
Rua Marcos Antônio Amaral (Recanto Sandra),11662745,Martim de Sá,Caraguatatuba,SP
Rua Um,11663006,Jardim Casa Branca,Caraguatatuba,SP
Rua Dois,11663007,Jardim Casa Branca,Caraguatatuba,SP
Avenida Emiliano Campedelli,11663008,Jardim Casa Branca,Caraguatatuba,SP
Praça Benedicto Fachini,11663235,Jardim Terralão,Caraguatatuba,SP
Praça Sílvio Zuliane,11666055,Jardim Britânia,Caraguatatuba,SP
Rotatória Antônia Candelária Campregher Romano,11666315,Praia das Palmeiras,Caraguatatuba,SP
Avenida Antônio do Rego,11666305,Praia das Palmeiras,Caraguatatuba,SP
Rua Antenor Carrijo,11666515,Praia das Palmeiras,Caraguatatuba,SP
Rua Sílvio de Oliveira,11666525,Praia das Palmeiras,Caraguatatuba,SP
Praça Engenheiro Marino Parolari,11667255,Jardim Porto Novo,Caraguatatuba,SP
Rua Antônio Rosa Botelho ( Jardim dos Sindicatos ),11667381,Jardim Porto Novo,Caraguatatuba,SP
Avenida Izabel Fernandes Nardi ( Jardim Parnaso ),11667625,Jardim Porto Novo,Caraguatatuba,SP
Praça de Estudante,11667812,Jardim Porto Novo,Caraguatatuba,SP
Rua Benedito Fortunato ( Balneário Maria Helena ),11668005,Jaraguá,Caraguatatuba,SP
Avenida Pedro Gonçalves Leite ( Balneário Maria Helena ),11668015,Jaraguá,Caraguatatuba,SP
Rua Aristóteles Francisco de Sá ( Perequê Mirim ),11668075,Jaraguá,Caraguatatuba,SP
Rua Maria Soares de Sá,11668146,Jaraguá,Caraguatatuba,SP
Rua Elvira Antonieta Steffen,11668308,Perequê Mirim,Caraguatatuba,SP
Rua Maria Barreto da Silva ( Chácaras Boa Esperança ),11668367,Perequê Mirim,Caraguatatuba,SP
Travessa Valmir Ales dos Reis,11669155,Travessão,Caraguatatuba,SP
