rua,cep,bairro,cidade,uf
Rua Antonio Ribeiro Lopes,12225878,Residencial Dom Bosco,São José dos Campos,SP
Rua Pedro Manzatto,12225880,Residencial Dom Bosco,São José dos Campos,SP
Rua João Pires Silveira Filho,12225882,Residencial Dom Bosco,São José dos Campos,SP
Rua Zaíra Galdino da Silva,12225884,Residencial Dom Bosco,São José dos Campos,SP
Praça Luiz Carlos Martins,12229165,Jardim Torrão de Ouro,São José dos Campos,SP
Praça Gunther Zolko,12229008,Jardim Torrão de Ouro,São José dos Campos,SP
Rua Jade,12215805,Jardim São José Centro,São José dos Campos,SP
Via Nair de Souza Camargo Oliveira,12223105,Cidade Vista Verde,São José dos Campos,SP
Rua Jose Geraldo dos Santos,12211140,Portal de Minas,São José dos Campos,SP
Rua José Roberto de Moraes,12211142,Portal de Minas,São José dos Campos,SP
Rua Conceição Aparecida Lima Pereira,12211144,Portal de Minas,São José dos Campos,SP
Rua Helcio Péricles de Faria,12211145,Portal de Minas,São José dos Campos,SP
Rua Marina Bona Ferreira Honório,12211147,Portal de Minas,São José dos Campos,SP
Rua Olímpia Maria de Paula,12211149,Portal de Minas,São José dos Campos,SP
Rua Emilia Vieira de Andrade,12211151,Portal de Minas,São José dos Campos,SP
Rua João Batista Lopes,12211153,Portal de Minas,São José dos Campos,SP
Praça Professora Lila Barboza,12246128,Parque Residencial Aquarius,São José dos Campos,SP
Travessa Mogno,12232086,Bosque dos Eucaliptos,São José dos Campos,SP
Rua Maria de Lourdes de Andrade Coltro,12228014,Jardim Santo Onofre,São José dos Campos,SP
Praça Corretor de Imóveis,12245105,Jardim São Dimas,São José dos Campos,SP
Rua Olavo Augusto Andrade,12229135,Jardim Torrão de Ouro,São José dos Campos,SP
Rua Cid Morel,12229155,Jardim Torrão de Ouro,São José dos Campos,SP
Rua Robert Marden Oliveira de Mello,12229810,Parque Interlagos,São José dos Campos,SP
Rua Aurora de Paula Ribeiro,12229813,Jardim Torrão de Ouro,São José dos Campos,SP
Rua Benedito Procópio dos Santos,12229816,Jardim Torrão de Ouro,São José dos Campos,SP
Rua Arruda,12226757,Chácaras Pousada do Vale,São José dos Campos,SP
Avenida Engenheiro Juarez de Siqueira Britto Wanderley,12238565,Eldorado,São José dos Campos,SP
Avenida Manuel Vieira,12239053,Residencial União,São José dos Campos,SP
Rua Pedro Synesio Vanzella,12244574,Urbanova,São José dos Campos,SP
Avenida Brás Domingos de Arantes,12224555,Jardim Nova Detroit,São José dos Campos,SP
Rua Paulo Roberto Carrilho Sanches,12224819,Residencial Ana Maria,São José dos Campos,SP
Rua José Magalhães Rabelo,12228127,Residencial Jatobá,São José dos Campos,SP
Rua José da Fonseca Lima,12244593,Urbanova,São José dos Campos,SP
Travessa Idalício Pompflio de Moura,12239001,Residencial União,São José dos Campos,SP
Travessa José Augusto Barbosa,12239007,Residencial União,São José dos Campos,SP
Avenida Tecsat,12241365,Jardim Limoeiro,São José dos Campos,SP
Travessa Marcinei Francisco Barbosa,12239010,Residencial União,São José dos Campos,SP
Travessa Esther Lopes Braga,12239045,Residencial União,São José dos Campos,SP
Travessa Antônio de Araújo Leite,12239046,Residencial União,São José dos Campos,SP
Travessa Cecília Rodrigues Souza,12239047,Residencial União,São José dos Campos,SP
Rua Luiz Julio,12239051,Residencial União,São José dos Campos,SP
Rua Miguel Jansen,12239052,Residencial União,São José dos Campos,SP
Rua José Geraldo Nunes,12239054,Residencial União,São José dos Campos,SP
Rua Josué de Oliveira,12239055,Residencial União,São José dos Campos,SP
Rua Anna Ortega Traballi,12213215,Vila São Geraldo,São José dos Campos,SP
Travessa Santa Joana D'Arc,12212515,Alto da Ponte,São José dos Campos,SP
Rua Paula Correia de Faria,12239825,Campo dos Alemães,São José dos Campos,SP
Rua Arlinda Pereira Dias,12239150,Campo dos Alemães,São José dos Campos,SP
Rua Ida Olympia dos Santos,12239841,Residencial Altos do Bosque,São José dos Campos,SP
Rua Antonio Pereira de Souza,12239843,Residencial Altos do Bosque,São José dos Campos,SP
Rua James Osvaldo Seo,12239845,Residencial Altos do Bosque,São José dos Campos,SP
Rua João Alves Pinto,12239847,Residencial Altos do Bosque,São José dos Campos,SP
Rua José Profício Filho,12239849,Residencial Altos do Bosque,São José dos Campos,SP
Rua Sebastião Lourenço,12239851,Residencial Altos do Bosque,São José dos Campos,SP
Rua Antonio Vaz Santoro,12239853,Residencial Altos do Bosque,São José dos Campos,SP
Rua Antonio Morera Fuentes,12239855,Residencial Altos do Bosque,São José dos Campos,SP
Rua Raymundo do Nascimento Neto,12239857,Residencial Altos do Bosque,São José dos Campos,SP
Rua Alípio Alves de Aguiar,12239860,Residencial Altos do Bosque,São José dos Campos,SP
Rua Glauco Vieira Teixeira,12239862,Residencial Altos do Bosque,São José dos Campos,SP
Rua João Gomes da Silva,12248616,Jardim São José Leste,São José dos Campos,SP
Rua João Gomes da Silva,12248682,Jardim São José II,São José dos Campos,SP
Estrada Arcílio Moreira da Silva - lado ímpar,12236852,Residencial Gazzo,São José dos Campos,SP
Estrada Arcílio Moreira da Silva - lado par,12239870,Jardim Juliana,São José dos Campos,SP
Rua Armagedon,12248670,Jardim São José II,São José dos Campos,SP
Viela João Alves da Costa,12227784,Parque Residencial Flamboyant,São José dos Campos,SP
Viela João dos Santos,12227785,Parque Residencial Flamboyant,São José dos Campos,SP
Viela Raimundo Alexandre da Cunha,12227774,Parque Residencial Flamboyant,São José dos Campos,SP
Viela Sebastião Luiz,12227775,Parque Residencial Flamboyant,São José dos Campos,SP
Rua Danilo Eduardo Rios Ramos,12248610,Jardim São José Leste,São José dos Campos,SP
Rua Danilo Eduardo Rios Ramos,12248686,Jardim São José II,São José dos Campos,SP
Estrada Municipal Jardim de Allah,12226770,Cajuru,São José dos Campos,SP
Rua Benedito Rodrigues Moreira,12228866,Jardim Santa Luzia,São José dos Campos,SP
Rua Santa Rita de Cássia,12228408,Jardim São Judas Tadeu,São José dos Campos,SP
Avenida Antonia Natalia Campos de Assis,12234750,Vila das Flores,São José dos Campos,SP
Rua Alexandre Carlos Rennó,12234752,Vila das Flores,São José dos Campos,SP
Rua Ruth da Silva Santos,12234754,Vila das Flores,São José dos Campos,SP
Rua Luiz Carlos da Rocha,12234756,Vila das Flores,São José dos Campos,SP
Rua Maria Pires da Silva,12234758,Vila das Flores,São José dos Campos,SP
Rua Edmundo Ferreira dos Reis,12234760,Vila das Flores,São José dos Campos,SP
Rua Roberto Carlos dos Santos,12234762,Vila das Flores,São José dos Campos,SP
Rua Marcilo Alves Felicio,12234764,Vila das Flores,São José dos Campos,SP
Rua Antônio Giuseppe Roberti,12234766,Vila das Flores,São José dos Campos,SP
Rua Antônio Francisco Ramos,12234768,Vila das Flores,São José dos Campos,SP
Rua Inacia Maria dos Santos,12234770,Vila das Flores,São José dos Campos,SP
Rua Hélio de Pinho,12234772,Vila das Flores,São José dos Campos,SP
Rua Luiz de Oliveira Ruivo,12234774,Vila das Flores,São José dos Campos,SP
Rua Edina de Pinho Lima,12234776,Vila das Flores,São José dos Campos,SP
Rua José Antônio dos Santos,12234778,Vila das Flores,São José dos Campos,SP
Rua Almir Oliveira Vicente,12234780,Vila das Flores,São José dos Campos,SP
Rua Luiz Arnaldo Saldão,12234782,Vila das Flores,São José dos Campos,SP
Rua Eliezer de Pinho,12234784,Vila das Flores,São José dos Campos,SP
Rua Ayrton Senna da Silva,12248678,Jardim São José II,São José dos Campos,SP
Rua Frediano Bianchi Filho,12248674,Jardim São José II,São José dos Campos,SP
Rua Jorge Amado,12248666,Jardim São José II,São José dos Campos,SP
Rua Tim Lopes,12248662,Jardim São José II,São José dos Campos,SP
Rua Tom Jobim,12248660,Jardim São José II,São José dos Campos,SP
Rua Vinícius de Moraes,12248685,Jardim São José II,São José dos Campos,SP
Avenida Jorge Zarur,12243081,Vila Ema,São José dos Campos,SP
Avenida Jorge Zarur,12242020,Jardim Aquárius,São José dos Campos,SP
Avenida Um,12214523,Mirante do Buquirinha,São José dos Campos,SP
Rua Dois,12214526,Mirante do Buquirinha,São José dos Campos,SP
Rua Três,12214529,Mirante do Buquirinha,São José dos Campos,SP
Rua Quatro,12214532,Mirante do Buquirinha,São José dos Campos,SP
Rua Seis,12214535,Mirante do Buquirinha,São José dos Campos,SP
Rua Sete,12214538,Mirante do Buquirinha,São José dos Campos,SP
Rua Oito,12214541,Mirante do Buquirinha,São José dos Campos,SP
Travessa Pedro José Dias,12214544,Mirante do Buquirinha,São José dos Campos,SP
Travessa Pica Pau Amarelo,12214547,Mirante do Buquirinha,São José dos Campos,SP
Estrada do Florindo,12214560,Buquirinha II,São José dos Campos,SP
Rua Paturi,12214563,Buquirinha II,São José dos Campos,SP
Avenida Ubiratan Mendes,12214566,Buquirinha II,São José dos Campos,SP
Travessa Olívia Cesária S. Silva,12214569,Buquirinha II,São José dos Campos,SP
Travessa Um,12214572,Buquirinha II,São José dos Campos,SP
Travessa Três,12214575,Buquirinha II,São José dos Campos,SP
Travessa do Matão,12214578,Buquirinha II,São José dos Campos,SP
Travessa Chacramento,12214581,Buquirinha II,São José dos Campos,SP
Travessa Quatro,12214584,Buquirinha II,São José dos Campos,SP
Rua Um,12214587,Buquirinha II,São José dos Campos,SP
Rua Dois,12214590,Buquirinha II,São José dos Campos,SP
Rua Doutor João Carlos Hass Sobrinho,12232540,Conjunto Residencial Dom Pedro I,São José dos Campos,SP
Rua Doutor João de Paula Cabral,12237670,Recanto dos Pinheiros,São José dos Campos,SP
Rua Doutor João Gomes Batista Neto,12225170,Jardim Paraíso do Sol,São José dos Campos,SP
Avenida Doutor João Guilhermino - lado par,12210130,Centro,São José dos Campos,SP
Avenida Doutor João Guilhermino - lado ímpar,12210131,Centro,São José dos Campos,SP
Praça Doutor João Mendes,12210170,Centro,São José dos Campos,SP
Rua Doutor João Tranchesi,12224390,Jardim São Vicente,São José dos Campos,SP
Praça Doutor José de Moura Resende,12209680,Vila Terezinha,São José dos Campos,SP
Rua Doutor José de Moura Resende,12221470,Vila Tesouro,São José dos Campos,SP
Rua Doutor José Ferreira Guimarães,12229290,Jardim Torrão de Ouro,São José dos Campos,SP
Rua Doutor José Job de Araújo Alves,12244810,Conjunto Residencial Esplanada do Sol,São José dos Campos,SP
Rua Doutor José Luiz Buck Ferreira,12226080,Parque Nova Esperança,São José dos Campos,SP
Rua Manoel Martins Netto,12234550,Conjunto Residencial Elmano Veloso,São José dos Campos,SP
Avenida Doutor Mário Galvão,12209004,Jardim Bela Vista,São José dos Campos,SP
Rua Doutor Maurício de Freitas,12237170,Conjunto Residencial Trinta e Um de Março,São José dos Campos,SP
Rua Doutor Max Michaelis,12224500,Jardim Nova Detroit,São José dos Campos,SP
Rua Doutor Milton Parodi,12232200,Jardim Portugal,São José dos Campos,SP
Rua Doutor Nelson D'Avila,12247280,Eugênio de Mello,São José dos Campos,SP
Avenida Doutor Nelson D'Avila - lado ímpar,12245030,Jardim São Dimas,São José dos Campos,SP
Avenida Doutor Nelson D'Avila - lado par,12245031,Jardim São Dimas,São José dos Campos,SP
Rua Doutor Nilton Silva,12243640,Vila Adyana,São José dos Campos,SP
Avenida Doutor Numa de Oliveira,12212660,Jardim Telespark,São José dos Campos,SP
Rua Doutor Octávio Monteiro Becker,12236066,Jardim Terras do Sul,São José dos Campos,SP
Rua Doutor Oscar Strauss,12233790,Bosque dos Eucaliptos,São José dos Campos,SP
Rua Doutor Oswaldo Couto,12244400,Urbanova,São José dos Campos,SP
Rua Doutor Othon dos Santos Mercadante,12212650,Vila Sinhá,São José dos Campos,SP
Rua Doutor Paulo Barbosa Lima,12215520,Monte Castelo,São José dos Campos,SP
Rua Doutor Paulo Felizardo,12242110,Jardim das Colinas,São José dos Campos,SP
Rua Doutor Pedro Luiz de Oliveira Costa,12241430,Jardim Limoeiro,São José dos Campos,SP
Rua Doutor Pedro Popini Mascarenhas,12242130,Jardim das Colinas,São José dos Campos,SP
Rua Doutor Raphael Faro Netto,12229240,Jardim Torrão de Ouro,São José dos Campos,SP
Rua Doutor Ricardo Edwards,12220290,Vila Industrial,São José dos Campos,SP
Rua Doutor Rúbens Calasans Camargo,12220030,Residencial Planalto,São José dos Campos,SP
Rua Doutor Sérgio Santos,12232180,Jardim Portugal,São José dos Campos,SP
Rua Doutor Vicente de Finis Neto,12246011,Altos do Esplanada,São José dos Campos,SP
Rua Doutor Vítor Machado Carvalho,12226111,Parque Nova Esperança,São José dos Campos,SP
Rua Doutor Waldomiro Martins Pinheiro,12224690,Jardim Nova Detroit,São José dos Campos,SP
Rua Geraldo Moreira,12239180,Campo dos Alemães,São José dos Campos,SP
Rua Caetano Manzi Sobrinho,12226765,Chácaras Pousada do Vale,São José dos Campos,SP
Rua Anna Rosa de Moraes,12224781,Jardim Pararangaba,São José dos Campos,SP
Rua Doze,12228258,Putim,São José dos Campos,SP
Rua Geralda dos Santos Nunes,12236494,Jardim Sul,São José dos Campos,SP
Rua Doze de Outubro,12215210,Monte Castelo,São José dos Campos,SP
Rua Dracena,12240290,Jardim das Indústrias,São José dos Campos,SP
Rua Draco,12230450,Jardim Satélite,São José dos Campos,SP
Rua Dublim,12231300,Jardim Aeroporto,São José dos Campos,SP
Rua Dumitilde Marcondes,12216090,Jardim Paulista,São José dos Campos,SP
Praça Duque de Caxias,12216050,Jardim Paulista,São José dos Campos,SP
Rua Durval de Melo,12234260,Jardim Imperial,São José dos Campos,SP
Rua Durval S Aguiar,12234261,Jardim Colonial,São José dos Campos,SP
Rua Durvalina da Gama Ferreira,12232120,Bosque dos Eucaliptos,São José dos Campos,SP
Rua Durvalina Isaura Conceição dos Santos,12211135,Vila Nova Cristina,São José dos Campos,SP
Rua Durvalina Simões,12240480,Jardim das Indústrias,São José dos Campos,SP
Rua Durvalino Marciano Leite,12227830,Parque Santos Dumont,São José dos Campos,SP
Avenida Dusmenil Santos Fernandes,12247470,Conjunto Residencial Galo Branco,São José dos Campos,SP
Rua E,12226833,Jardim Santa Hermínia,São José dos Campos,SP
Rua E,12226295,Bom Retiro,São José dos Campos,SP
Rua dos Economistas,12221310,Jardim Valparaíba,São José dos Campos,SP
Rua Eddie Maia Ramos,12233060,Bosque dos Eucaliptos,São José dos Campos,SP
Rua Edesia Gonçalves Neves,12234006,Jardim Colonial,São José dos Campos,SP
Rua Edesio José de Melo,12227070,Vila São Benedito,São José dos Campos,SP
Rua Edesio Soares,12234002,Jardim Colonial,São José dos Campos,SP
Avenida Eduardo Lourenço,12226552,Campos de São José,São José dos Campos,SP
Rua Edward Simões,12220530,Vila Industrial,São José dos Campos,SP
Rua Edward Wilson Kimbask,12224420,Jardim São Vicente,São José dos Campos,SP
Rua Egle Carnevali,12240490,Jardim das Indústrias,São José dos Campos,SP
