Região  "Bairro/loteamento"
Sudeste "Vila São Benedito; Jardim Souto; Residencial Cambuí"
Sudeste "Jardim da Granja; Parque Santa Rita; Chácaras São José"
Sudeste "Jardim Uirá"
Sudeste "Jardim Colorado; Parque Martim Cererê; Residencial Flamboyant; Res. Bell Park; Sítio Bom Jesus(092)"
Sudeste "Residencial São Francisco; Altos do Uirá(090)"
Sudeste "Jardim Santa Luzia; Recanto dos Eucaliptos(087); Jd. Santa Rosa; Jd. Santa Julia; Res. Santa Rosa"
Sudeste "Putim-Bairro (parte); Parque Santos Dumont"
Sudeste "Jardim do Lago; Putim-Bairro (parte)"
Sudeste "Jardim São Leopoldo"
Sudeste "Jardim Santa Fé; Jardim Santo Onofre; Vila Iracema; Vila Rica"
Sudeste "Jardim São Judas Tadeu; Conjunto São Judas Tadeu"
Sudeste "Conj. Hab. Polícia Militar"
Sudeste "Residencial Jatobá; Residencial Juritis; Vila Adriana I e II"
Sudeste "Pernambucana de Cima-Bairro (parte); Conj.Res.Nosso Teto; Recanto das Jabuticabeiras (072)"
Sudeste "Pernambucana de Cima-Bairro (parte); Recanto dos Nobres-Ch. (093)"
Sudeste "C.T.A."
Oeste   "Jardim das Indústrias"
Oeste   "Jardim Alvorada"
Oeste   "Jardim Por do Sol; Limoeiro-Bairro (acima curva de nível 555m.); Rua da Palha (084 parte)"
Oeste   "Limoeiro-Bairro (abaixo curva de nível 555); Rua da Palha (084 parte)"
Oeste   "Jardim Colinas"
Oeste   "Jardim Aquarius; Bosque Imperial"
Oeste   "Residencial Sunset Park"
Oeste   "Parque Residencial Aquarius; Jardim Altos do Esplanada; Jardim Cassiano Ricardo; Royal Park"
Oeste   "Urbanova; Jaguariuna-Bairro (parte); Beira Rio"
Sul     "Parque Interlagos; Pernambucana de Baixo-Bairro; Jardim Mesquita(082); Terrinha(094); Torrão de Ouro-Ch.I e II(083); R. Pinheirinho(085); Caramujo; Torrão de Ouro"
Sul     "Campo dos Alemães; Parque dos Ipês; Res. Altos do Bosque"
Sul     "Conj. Hab. Dom Pedro II; Conj. Res. Papa João Paulo II"
Sul     "Conj. Hab. Dom Pedro I"
Sul     "Conj. Hab. Elmano F. Veloso"
Sul     "Jardim Colonial; Jardim Imperial; Pinheirinho"
Sul     "Capitingal-Bairro; Jardim República; Jardim Nova República; Vila das Flôres; Jd Santa Edwiges; Jd. Dos Bandeirantes"
Sul     "Jardim Cruzeiro do Sul"
Sul     "Bosque dos Eucaliptos"
Sul     "Quinta das Flores"
Sul     "Jardim Estoril; Jardim Madureira"
Sul     "Jardim Del Rey; Jardim Portugal"
Sul     "Conjj. Res. Primavera"
Sul     "Jardim Satélite; Residencial Jardins"
Sul     "Floradas de São José"
Sul     "Conj. Res. Cidade Jardim"
Sul     "Jardim Anhembi"
Sul     "Jardim América, Res. San Marino"
Sul     "Jardim Paraíso"
Sul     "Jardim Oriental"
Sul     "Jardim do Céu; Jardim Rosário"
Sul     "Jardim Oriente; Conj. Res. Sol Nascente; Jd Terras do Sul"
Sul     "Jardim Sul; Bosque dos Ipês; Residencial Gazzo"
Sul     "Cidade Morumbi; Conj. Res. Morumbi"
Sul     "Parque Residencial União; Jardim Juliana"
Sul     "Parque Industrial; Conj.Res.Morada do Sol; Conj.Res.Recanto Eucaliptos; Conj.Res.31 de Março; Jd. das Azaléias; Jd. Petrópolis; Jd. Veneza; Pq. Independência; Conj.Res.Recanto Pinheiros; Res. De Ville"
Sul     "Palmeiras de São José"
Sul     "Jardim Vale do Sol"
Sul     "Chácaras Reunidas, R.Januaria(091)"
Sul     "Rio Comprido(086)"
Sul     "Vila Nova Conceição; Jardim Aeroporto; Vila das Acácias; Vila Letônia; Vila Nair"
Sul     "Vila São Bento; Vila Luchetti; Xingu(Luchetti)"
Sul     "Projeto Torrão de Ouro"
Norte   "Buquirinha-Bairro(parte)"
Norte   "Vila Paiva, Jardim Boa Vista, Vl.Paiva-remanescente(069)"
Norte   "Jardim Santa Matilde, Vila Cândida"
Norte   "Vila São Geraldo, Recanto Caetê, Caete-Bairro (parte), Altos da Vila Paiva, Conj. Hab. São Geraldo"
